135,한화시스템,"17,250",550,-3.09%,"5,000","19,015","110,230",2.37,"1,132,800",24.43,8.15,
136,명신산업,"46,500","1,800",-3.73%,500,"18,962","40,779",1.04,"1,502,333",N/A,53.84,
137,현대위아,"69,300","2,400",-3.35%,"5,000","18,846","27,195",11.71,"1,079,897",14.97,1.80,
138,포스코인터내셔널,"15,150",50,+0.33%,"5,000","18,691","123,375",11.80,"1,168,661",8.36,7.06,
139,HDC현대산업개발,"28,150",100,+0.36%,"5,000","18,553","65,907",10.06,"1,735,008",6.99,20.30,
140,부광약품,"28,250",200,-0.70%,500,"18,317","64,838",4.75,"722,425","14,125.00",-2.00,
141,대한유화,"280,000","45,000",+19.15%,"5,000","18,200","6,500",17.32,"416,501",20.50,6.11,
142,BNK금융지주,"5,580",0,0.00%,"5,000","18,187","325,935",36.67,"1,988,491",3.79,7.07,
143,농심,"298,500","3,000",-1.00%,"5,000","18,157","6,083",18.35,"47,529",13.39,3.72,
144,KCC,"204,000",500,-0.24%,"5,000","18,128","8,886",11.61,"57,195",-647.62,-4.37,
145,TIGER MSCI Korea TR,"16,635",10,-0.06%,0,"17,816","107,100",0.00,"379,531",N/A,N/A,
146,KODEX MSCI Korea TR,"13,275",20,-0.15%,0,"17,696","133,300",9.64,"400,494",N/A,N/A,
147,두산인프라코어,"8,140",20,+0.25%,"5,000","17,575","215,913",4.66,"1,615,017",10.50,11.59,
148,아이에스동서,"56,400",200,+0.36%,500,"17,423","30,893",5.34,"164,530",13.60,6.10,
149,현대백화점,"73,100",900,-1.22%,"5,000","17,107","23,402",13.97,"222,800",14.98,4.64,
150,메리츠화재,"14,100",50,+0.36%,500,"17,008","120,625",9.83,"279,117",4.13,12.80,
151,현대엘리베이,"41,450",350,-0.84%,"5,000","16,918","40,815",25.25,"432,887",18.56,5.22,
152,효성,"76,600",200,+0.26%,"5,000","16,140","21,071",5.83,"95,998",-35.91,4.25,
153,솔루스첨단소재,"52,400",0,0.00%,100,"16,029","30,590",10.37,"466,196",151.45,N/A,
154,KODEX 200TR,"13,215",5,-0.04%,0,"15,580","117,900",0.00,"227,242",N/A,N/A,
155,한화에어로스페이스,"30,450",250,-0.81%,"5,000","15,417","50,630",18.67,"629,553",21.35,5.45,
156,영진약품,"8,350",400,+5.03%,500,"15,272","182,893",4.16,"5,050,212","-2,087.50",4.43,
157,KODEX 삼성그룹,"10,285",90,-0.87%,0,"15,016","146,000",0.03,"1,037,120",N/A,N/A,
158,KODEX 레버리지,"25,530",45,-0.18%,0,"14,961","58,600",3.57,"59,493,651",N/A,N/A,
159,KODEX 종합채권(AA-이상)액티브,"109,905",150,-0.14%,0,"14,936","13,590",0.00,"10,691",N/A,N/A,
160,LG생활건강우,"705,000","3,000",-0.42%,"5,000","14,803","2,100",84.50,"2,596",15.80,N/A,
161,롯데정밀화학,"56,900",300,-0.52%,"5,000","14,680","25,800",23.06,"283,168",8.58,11.73,
162,NHN,"74,600",600,+0.81%,500,"14,596","19,565",11.44,"125,998",49.70,0.78,
163,지누스,"99,100",200,-0.20%,500,"14,277","14,407",22.00,"45,222",20.00,26.32,
164,영원무역,"31,700",700,-2.16%,500,"14,047","44,311",23.61,"243,940",8.58,9.82,
165,한국테크놀로지그룹,"14,250",50,-0.35%,500,"13,255","93,020",6.72,"215,094",11.89,4.71,
166,메리츠금융지주,"9,850",130,+1.34%,500,"13,200","134,011",8.17,"135,084",2.83,15.26,
167,F&F,"85,400","1,200",-1.39%,500,"13,152","15,400",9.25,"121,289",15.10,25.13,
