tier,summonerId,summonerName,leaguePoints,wins,losses,veteran,inactive,freshBlood,hotStreak
CHALLENGER,HVCCnWXN_XeUYi9fEYH03n6EugKoFtIqQlibGM2sYDg3_1U,군빵맨,852,830,778,False,False,False,False
CHALLENGER,LzjJkjm7e5jN79MVp3myUVqWa_dwGOPCAquEbFe8uS_HiN0,Oct0ber,888,460,423,False,False,False,False
CHALLENGER,xQfw98lOiR2Jz9EECD2IeZs_0F1dqK09cdwAIoooe8PUdOo,교육잘받은도구,870,425,367,False,False,False,True
CHALLENGER,sQNcOBs4jpTJ9ozhsVdt1W_8-nXGUD7UlBUgkLJxZLg0UuE,스컬지,1583,762,652,True,False,False,False
CHALLENGER,pwdH_6svTOz4A2R9clVe5nHgLEZjXRIcNLrcL4o9auNlcvg,Shadow Supreme,871,393,371,False,False,False,True
CHALLENGER,KBWUYUJbQljzbsbMOVcRDDJc01KcnQRJyyspJRlB0XsmpNs,밧형욱,863,406,350,False,False,False,True
CHALLENGER,noY_qNo1a0lL4kdOt26n0y4NFOY2ahQNWvTYsLpT7MvF6e8,Big buttocks,872,248,176,False,False,False,True
CHALLENGER,Hy0PZiKavnxWEMWLReJ35_4vBsp5p-F1uRLeYiQQiUZA5YLx,스카이시현,1008,223,120,False,False,False,False
CHALLENGER,JUiHs1_n09jdONrjA4BaNrVLW-5QcxaN8sm6CL_EDk25jqc,챌린저땅우양,879,486,431,False,False,False,False
CHALLENGER,afa09u600qPengkHN59XqQlMG2SH9sqqAvJT0U4_-pLdZ5U,nine3,885,339,257,False,False,False,False
CHALLENGER,6nPgRLhONZHdD8XaBKidgBvwtKjA0dTIVsQVEmddTy_WqxA,쿠자니,865,521,476,True,False,False,False
CHALLENGER,_enDJhfRgujjyxvfkH3U92rVUUgRqrNd55y71AWHTh-86Gs,바쿠야,872,356,238,False,False,False,False
CHALLENGER,Xf7TFd-6iXKD-eznNodM8UHFR6yjAETlpY0qpkFdgvMeQQA,Shadow Patch,1114,743,614,True,False,False,True
CHALLENGER,9jKMGvs1ayZE74D_HEmLLNXBPHaAfxtHPnS449_PXbxt4Yo,GGirit,879,587,518,False,False,True,False
CHALLENGER,c0wvMYxj6HinON_fqrH-Ml1CFcBysV0yMn9SKG5G9kxXQ4I,Zaovvunongren,909,689,614,False,False,False,False
CHALLENGER,gOsXacHuCLu8FU9eILCtM7JV_RiXRE9-zkNDQLAWs8AZciQ,Sweety Pretty,937,363,305,False,False,False,False
CHALLENGER,mbXaB-9nRe3ymi0H3713oYgctafdpTzqVXz3h-Z1FhMpRHE,Let me sup,871,337,258,False,False,True,True
CHALLENGER,0Q9taec1EeQeES2bSpwZNf12eNJGya7UfIsSxM_4aS4Y6w,White Canvas,905,652,599,False,False,False,False
CHALLENGER,F7ywH5S66uV-gh9oQJtSRcMQEQpXBFhB7zMpjP9DDDsnpw,MAI WAY,862,252,201,False,False,False,False
CHALLENGER,8kdGXYcMVW_-MNnzKTynDkxUipHVwCCVwKcYdQTgybvJckc,Gen G Clid,884,890,809,False,False,True,False
CHALLENGER,UhB0nx2_qHK8SGXUq-T7MIxJacN-5DkC-XKfF-BNBq87cLU,T1 Ellim,1109,316,251,True,False,False,False
CHALLENGER,h1KbxOK52GshUe3XAeeRXpbkIsoXq4yS2CwNy3d-ac24ww,강꼬릴,934,582,535,False,False,False,False
CHALLENGER,Gfo2fzJlxTYUm_ucsAIHOe_bb-8X3AZcgEwI3h_c5sm_MAU,Z0Z1,953,586,469,False,False,False,False
CHALLENGER,qccNuMkavg5xTx_b8oUMa56d0MGKEYZFekxHybN4gIen4po,T1 Closer,937,779,722,True,False,False,False
CHALLENGER,ijeEwEgq_UscYmDn8GAZGBhMcZDgWsqCOawZheyimWu-orE,미북이,968,856,795,False,False,False,False
CHALLENGER,Rt8xGmV1Y8TZag3__UxxAwNon_KSfbNM6v7bKfb81HiXsZ4,노량 엄순신,925,431,362,False,False,True,False
CHALLENGER,638ML9GPJi3PJKbaK_c83O2GD8Hw5Wx7bKHcWz_KjuORsIg,타 잔,1011,671,583,False,False,False,False
CHALLENGER,hVoD0FBtwn9B6d3WRSQU2hGR9Zv29Xs8hEZWMPDOGaeSQ6g,ADD on win,1366,260,184,False,False,False,True
CHALLENGER,tONGkRuBdc-VJp2n3U9pbkJUb0mPpHcUYetdHf64Nl7UXwY,모찌피치모찌피치,1145,1076,1009,True,False,False,True
CHALLENGER,v0X9q7diBHWkRa6UKLr4EFkSKmJocP2M7nB1My5q9FnVX4A,OMGBoring,915,615,548,False,False,False,False
CHALLENGER,7nIg_9pFP87OpERLnOkdNohCPxg5hag_05Qq7CLdV2ncFGE,kelinn,1097,807,749,True,False,False,False
CHALLENGER,O38wU-uU8LK1bYVqVJ3AhZqRLIpjmNh5Efap-mgrmkJpng,하이드,876,440,389,False,False,False,True
CHALLENGER,ckvg-0-DYM2i9MLqw8NNsOcS5-tbDBM1v4hDtW3z7HXNK5k,W1zer,884,474,419,False,False,False,False
CHALLENGER,dAxPI326j9ADZNWLAwqlwSvMXmQg40xYn7wrPG-kwEWMnKm8,jiaoliu bingqing,865,355,228,False,False,False,False
CHALLENGER,I-Qqz35GnMjp0JS-XJcs8QBIJMEfIIgSddXSRD7X9KWH2yw,양대인의 발가락,859,846,790,False,False,True,False
CHALLENGER,XSQT656N2mU9h-yIK0t4VtSjGWVFLgVI9TmC69YwtG9Ri8I,나스물이민형,981,518,438,False,False,False,False
CHALLENGER,G8bzmPWR9UKOzjU7zYtita2PBkQ8R2G-yEJYMPZIcF6OXHk,팀개못하면누누함,1071,458,365,True,False,False,False
CHALLENGER,0oE-i13z5LPhZUzXZ3E53y7i9_T3yR2cFm9CbKoW9otb_QQ,T1 Gumayusi,1459,1033,926,True,False,False,False
CHALLENGER,tcwXGkU48nROkNMbEvTZZmVtQC2LHTJmlYMfneeaa_9EA9E,GLZassassin,1017,930,850,False,False,False,False
CHALLENGER,VmXmJAccy_6M5ZjIJeghEJauXXn8BwNPVPieHpUeaQbF4Gti,Shining fans,1076,414,355,True,False,False,False
CHALLENGER,LLwlKAUNrHP0W2wabtMLcRMsuzS5A3FzvXU_pzIro_kpCA,AF LaCo,877,717,684,False,False,False,True
CHALLENGER,kpmBr7wrbMeJawF4_fY2aqAvei8qrDosonER4dBosHI8_vs,xxxxxxx1,1064,867,772,False,False,False,False
CHALLENGER,POlsIHL7xgP96QE3vWpo8SAGUr1ADi6-oUV7RTpk29Am96g,GGGori,895,609,542,False,False,True,False
CHALLENGER,npHBOZKf8Y8OuU_u0oIsOCXWySS2woXzUmqZo8bFZ1GIekw,칼과 창 방패,876,359,326,False,False,False,False
CHALLENGER,3H4QhiA55L0xYmLHsTkmii3XH5S7K0O-HADThO7k-jqN8mQ,boom1boom,1029,309,223,False,False,False,False
CHALLENGER,jRHqV8gQwSth8wuHpDSidSU0zeJx2wX6vPCZmZmR76S8vq8,DRX Destr0y,904,573,524,False,False,False,False
CHALLENGER,IEruuk2i5ZnyFSqrF8hJjBXw_nedgXD9Mbj6jihycWLAR7Y,학이농장,868,291,161,False,False,False,True
CHALLENGER,qJJBGZFnEct5n7yozOtJVggm9e7VE6noynT_DNP5Oas4TpE,뷔이스타,1051,414,357,True,False,False,False
CHALLENGER,QYOD5F3ljoYfolTxyFBePm8DJPykjxS5vVtQdoWC21jFdZ4,용호야,1515,410,267,False,False,False,True
CHALLENGER,gIpwPTRRw35esaADfRWPDCO5Ar5XLErITYe5WkW9IJi4vQ,쪼렙이다말로하자,1185,1034,951,True,False,False,False
CHALLENGER,2qp0Yp43OByRfdc82-kSVxvXBh50eludvPlTzswILJ8U8uA,da gong ren1,951,321,263,False,False,False,False
CHALLENGER,UW3zzfcKVk_DTV32jpAMykaHTVUKGXl_nvB8SDVqX4x3UfE,순진무구 하 다,940,840,791,False,False,False,False
CHALLENGER,_mX0uym-0X7ESQI-1-boZM2XzO_OSFTtWnQBTmx7PFGDEbU,Hegzzz,917,1212,1111,True,False,False,False
CHALLENGER,Nl2doKYvyZ3V1ucvzAfkAMrSQrlIiV6CmtH0SawE45sKovw,concesslon,1016,533,474,False,False,False,True
CHALLENGER,5AcrS2Xh7c8YDE8u3N2Y4-yIcyJU1S6F6uwCgwTR_77ro7M,down sleep,870,335,276,False,False,False,False
CHALLENGER,fiM9O4F2zoEMgtzaryFIGYQsFVLG03ZzGPT3EkWdrh6kl0k,Bbvoy,1034,536,465,True,False,False,False
CHALLENGER,g8ALt6nArSaxrdQf1kcxMyIxdCve684V26IaCHpm3ywh5mfl,KiZiED,891,493,440,False,False,False,True
CHALLENGER,QMroFnpcssVgDdE5i589MoTwVNKAn9Thu4fdLq-C1qAxhF0,윤용호,1097,458,379,True,False,False,False
CHALLENGER,-luvoei8cTnMKOd6ZpQ0miQjqSk-5unIBUy6XO7fUhSBa6s,시간빠르다앙,1600,497,404,True,False,False,True
CHALLENGER,-KfLFew2MDnGq6VHRNsowSldcmzqfKLXwaQNnNi238rjHZ0,River9,1165,704,630,True,False,False,False
CHALLENGER,m8hY7KABVr5Rvh7irRl5SEbgvm62h__W9fHay7Rw41skq_U,Wwave,958,438,302,True,False,False,False
CHALLENGER,f9JZcryBhEgsu8FLjSXJhwxgqmyDDJfj-Uz2_m5mvgu7Kw,탑 혜지,1037,1185,1125,True,False,False,False
CHALLENGER,_TrUOazJcKiifLRtYDmnHPQv48x5uow-LcyVzo9H0Qpu_UU,Lehends,804,556,487,False,False,True,False
CHALLENGER,ixnZfuf1s9MRyAOLe_oPund0fGuxWp3fmnC9hNgEVi6O9ZA,캐 인,1007,375,352,True,False,False,False
CHALLENGER,h80h1jPRcdSwGauBXFIj_FTGXQZdnbsRD23l56gUD0_U_W8,deokdam,1030,404,324,True,False,False,False
CHALLENGER,Gc3H-irBLHzcYRft9QrHEQ949xcbSDKhkq2h343PWOeBbeM,남탓제발그만해,861,240,172,False,False,False,False
CHALLENGER,EYKqI5R3mkj3KKekZ0UW8NkQr5eEOAwKAuBOgVbWgSPx2Qc,T1 Cuzz,1262,526,438,True,False,False,True
CHALLENGER,rugKq8rbAvc5vEqIXZxv-UKNLaAHr3IYcoygyE8p7hEgIvU,DoRun,885,598,549,False,False,False,True
CHALLENGER,Qs5gzBJOVSPf5Uqw_pyBnAVgVSu4z_Lseh4Zll1yGUFi4Dw,볼붕이1,1008,774,653,False,False,False,True
CHALLENGER,ZOmPRLySXCseMQr6gDrcCAi3UnuMDqH3ljH9ED4f1GojTE4,NS Bull,1010,923,776,True,False,False,False
CHALLENGER,ZCPu-uCqNz0NtxbWLNipKFsVrOPGnjxTYYx0fjckEbmHNTo,BRO Delight,1087,1483,1427,True,False,False,False
CHALLENGER,_QvbN_4Gql505E8Tg3jeV_Rj3za7nTfiWmk2EbyM4TO1A6M,강주연,870,646,591,False,False,False,True
CHALLENGER,9ve0EqaAfxEwVdnh7eEKMpC-1zOYYtHBZd5kmhOkiTllET4,epoh on ,1024,1283,1240,True,False,False,True
CHALLENGER,PQKNQRf8zI1PV-5yVdwDKB5O7ILDZaIixQ9z_R9JrBORfeBt,xiaoyushizhu,1006,334,215,False,False,False,True
CHALLENGER,nGZHO6AS3xzGrfUJlK2ia1wWMBSkwyRVo0HzQUhnR2rXEQU,HLE CaD,872,640,588,False,False,False,True
CHALLENGER,6s4Mnp4xefETiMN2K_1Fq-_G9Yf9VTVGrA7YKLqaRfa3OpA,mmqm,1007,1056,985,False,False,False,True
CHALLENGER,c-BYp5wYFwgxQQ7cn5tblpXDfzW_1lg2TCXvQdI-_IwNtg,우우리99,867,502,464,False,False,False,False
CHALLENGER,xUIBEvHFMMtRIMoCG9Yz6i4cSe9OrnMhRuFC3NRm5_xEcmw,KT H4rp,852,1064,1013,False,False,True,False
CHALLENGER,SssccpvaHfZv1WfvEjMmveNaS9Yb04t2ENmlU2VrJbo3qP8,김도칠,893,488,437,True,False,False,False
CHALLENGER,kArYSUVVnZIwyH5QDinOc4CoX9xcWiojqO8CRgESXybPIw,CCrazy,865,708,666,False,False,False,False
CHALLENGER,_cbbYRp6eTCagguYAhQIx2VylTaik0GWEB6YpOJMjU-QmP8,Arrowlol,913,476,350,False,False,False,False
CHALLENGER,BcJ6pEdXHJL0FmT-4vyhcpDeFN7INO7CLmtW_hqlMqyc3Qg,쿠쟈니,912,226,166,False,False,False,True
CHALLENGER,HkVYCenOnlNm5SZ9EAEV6OtFkMC0msh5aFTMJal0OF_E4dM,나는야김준철,1267,582,509,True,False,False,True
CHALLENGER,7AghRN7LsOrAhsl4KsE289HIjtebl1hOXZq_L8Ajd3gO3N8,돌이킬 수 있는,893,1349,1306,False,False,False,False
CHALLENGER,eicCdCP3rGtzjC_UkCUd2AFIfjsNqUqGhBy8YPYl1WXUn8o,T1 Fisher,1288,698,542,True,False,False,False
CHALLENGER,N1iuEJ7aWBUCAHBdFVlMLX1gjqMQ-clnOndN6CTP_Xf_Lts,마이티베어,865,799,724,False,False,False,True
